"year","month","region","country","registrations"
2025,1,"EUROPE","ROMANIA",125
2025,2,"EUROPE","ROMANIA",56
2025,3,"EUROPE","ROMANIA",39
2023,1,"CHINA","CHINA",26843
2023,2,"CHINA","CHINA",33923
2023,3,"CHINA","CHINA",76663
2023,4,"CHINA","CHINA",39956
2023,5,"CHINA","CHINA",42508
2023,6,"CHINA","CHINA",74212
2023,7,"CHINA","CHINA",31423
2023,8,"CHINA","CHINA",64694
2023,9,"CHINA","CHINA",43507
2023,10,"CHINA","CHINA",28626
2023,11,"CHINA","CHINA",65504
2023,12,"CHINA","CHINA",75805
2024,1,"CHINA","CHINA",39881
2024,2,"CHINA","CHINA",30141
2024,3,"CHINA","CHINA",62398
2024,4,"CHINA","CHINA",31421
2024,5,"CHINA","CHINA",55215
2024,6,"CHINA","CHINA",59261
2024,7,"CHINA","CHINA",46227
2024,8,"CHINA","CHINA",63456
2024,9,"CHINA","CHINA",72200
2024,10,"CHINA","CHINA",40485
2024,11,"CHINA","CHINA",73490
2024,12,"CHINA","CHINA",82927
2025,1,"CHINA","CHINA",33703
2025,2,"CHINA","CHINA",26777
2025,3,"CHINA","CHINA",74127
2023,5,"ROW","TURKEY",200
2023,6,"ROW","TURKEY",800
2023,7,"ROW","TURKEY",1500
2023,8,"ROW","TURKEY",3000
2023,9,"ROW","TURKEY",4700
2023,10,"ROW","TURKEY",500
2023,11,"ROW","TURKEY",900
2023,12,"ROW","TURKEY",550
2024,1,"ROW","TURKEY",220
2024,2,"ROW","TURKEY",75
2024,3,"ROW","TURKEY",80
2024,4,"ROW","TURKEY",27
2024,5,"ROW","TURKEY",10
2024,6,"ROW","TURKEY",2670
2024,7,"ROW","TURKEY",420
2024,8,"ROW","TURKEY",1050
2024,9,"ROW","TURKEY",2475
2024,10,"ROW","TURKEY",340
2024,11,"ROW","TURKEY",1860
2024,12,"ROW","TURKEY",2307
2025,2,"ROW","TURKEY",3310
2025,3,"ROW","TURKEY",100
2023,1,"ROW","JAPAN",26
2023,2,"ROW","JAPAN",792
2023,3,"ROW","JAPAN",572
2023,4,"ROW","JAPAN",310
2023,5,"ROW","JAPAN",213
2023,6,"ROW","JAPAN",711
2023,7,"ROW","JAPAN",125
2023,8,"ROW","JAPAN",502
2023,9,"ROW","JAPAN",602
2023,10,"ROW","JAPAN",330
2023,11,"ROW","JAPAN",336
2023,12,"ROW","JAPAN",972
2024,1,"ROW","JAPAN",305
2024,2,"ROW","JAPAN",381
2024,3,"ROW","JAPAN",654
2024,4,"ROW","JAPAN",179
2024,5,"ROW","JAPAN",450
2024,6,"ROW","JAPAN",759
2024,7,"ROW","JAPAN",317
2024,8,"ROW","JAPAN",462
2024,9,"ROW","JAPAN",528
2024,10,"ROW","JAPAN",340
2024,11,"ROW","JAPAN",521
2024,12,"ROW","JAPAN",757
2025,1,"ROW","JAPAN",320
2025,2,"ROW","JAPAN",546
2025,3,"ROW","JAPAN",1243
2023,1,"ROW","ISRAEL",3
2023,2,"ROW","ISRAEL",0
2023,3,"ROW","ISRAEL",1366
2023,4,"ROW","ISRAEL",72
2023,5,"ROW","ISRAEL",422
2023,6,"ROW","ISRAEL",1435
2023,7,"ROW","ISRAEL",3
2023,8,"ROW","ISRAEL",1647
2023,9,"ROW","ISRAEL",515
2023,10,"ROW","ISRAEL",121
2023,11,"ROW","ISRAEL",750
2023,12,"ROW","ISRAEL",433
2024,1,"ROW","ISRAEL",7
2024,2,"ROW","ISRAEL",349
2024,3,"ROW","ISRAEL",1418
2024,4,"ROW","ISRAEL",1
2024,5,"ROW","ISRAEL",407
2024,6,"ROW","ISRAEL",841
2024,7,"ROW","ISRAEL",188
2024,8,"ROW","ISRAEL",1338
2024,9,"ROW","ISRAEL",699
2024,10,"ROW","ISRAEL",650
2024,11,"ROW","ISRAEL",363
2024,12,"ROW","ISRAEL",1941
2025,1,"ROW","ISRAEL",11
2025,2,"ROW","ISRAEL",6
2025,3,"ROW","ISRAEL",442
2023,1,"ROW","NEW_ZEALAND",189
2023,2,"ROW","NEW_ZEALAND",168
2023,3,"ROW","NEW_ZEALAND",875
2023,4,"ROW","NEW_ZEALAND",197
